Filename    Duration
--------    --------
SQ101M.CBL    0.0000
SQ102A.CBL    1.0000
SQ103A.CBL    0.0000
SQ104A.CBL    0.0000
SQ105A.CBL    1.0000
SQ106A.CBL    0.0000
SQ107A.CBL    1.0000
SQ108A.CBL    0.0000
SQ109M.CBL    0.0000
SQ110M.CBL    0.0000
SQ111A.CBL    1.0000
SQ112A.CBL    0.0000
SQ113A.CBL    0.0000
SQ114A.CBL    0.0000
SQ115A.CBL    1.0000
SQ116A.CBL    0.0000
SQ117A.CBL    0.0000
SQ121A.CBL    1.0000
SQ122A.CBL    0.0000
SQ123A.CBL    0.0000
SQ124A.CBL    0.0000
SQ125A.CBL    1.0000
SQ126A.CBL    0.0000
SQ127A.CBL    0.0000
SQ128A.CBL    0.0000
SQ129A.CBL    1.0000
SQ130A.CBL    0.0000
SQ131A.CBL    0.0000
SQ132A.CBL    0.0000
SQ133A.CBL    0.0000
SQ134A.CBL    1.0000
SQ135A.CBL    0.0000
SQ136A.CBL    0.0000
SQ137A.CBL    0.0000
SQ138A.CBL    1.0000
SQ139A.CBL    0.0000
SQ140A.CBL    0.0000
SQ141A.CBL    0.0000
SQ142A.CBL    1.0000
SQ143A.CBL    0.0000
SQ144A.CBL    0.0000
SQ146A.CBL    0.0000
SQ147A.CBL    0.0000
SQ148A.CBL    1.0000
SQ149A.CBL    0.0000
SQ150A.CBL    0.0000
SQ151A.CBL    0.0000
SQ152A.CBL    1.0000
SQ153A.CBL    0.0000
SQ154A.CBL    0.0000
SQ155A.CBL    0.0000
SQ156A.CBL    0.0000
SQ201M.CBL    1.0000
SQ202A.CBL    0.0000
SQ203A.SUB    0.0000
SQ204A.CBL    0.0000
SQ205A.CBL    1.0000
SQ206A.CBL    0.0000
SQ207M.CBL    0.0000
SQ208M.CBL    0.0000
SQ209M.CBL    1.0000
SQ210M.CBL    0.0000
SQ211A.CBL    0.0000
SQ212A.CBL    0.0000
SQ213A.CBL    0.0000
SQ214A.CBL    1.0000
SQ215A.CBL    0.0000
SQ216A.CBL    0.0000
SQ217A.CBL    0.0000
SQ218A.CBL    1.0000
SQ219A.CBL    0.0000
SQ220A.CBL    0.0000
SQ221A.CBL    0.0000
SQ222A.CBL    1.0000
SQ223A.CBL    0.0000
SQ224A.CBL    0.0000
SQ225A.CBL    0.0000
SQ226A.CBL    1.0000
SQ227A.CBL    0.0000
SQ228A.CBL    0.0000
SQ229A.CBL    1.0000
SQ230A.CBL    0.0000
SQ302M.CBL    0.0000
SQ303M.CBL    0.0000
SQ401M.CBL    0.0000
--------    --------
Total        21.0000

